Site_ID,Latitude,Longitude,Elevation_m,Slope_degrees,Distance_to_Grid_km,Distance_to_Road_km,Population_Density_km2,Water_Proximity_km,Water_Body_Area_ha,Flood_Risk_Score,Cyclone_Exposure,Land_Degradation_Index,Protected_Area_Proximity_km,Grid_Capacity_MW,Monsoon_Risk_Zone,Floating_PV_Suitability,Storage_Criticality_Score,Economic_Viability_Index,Storage_Priority_Rank,Economic_Rank,Floating_PV_Rank,LCOE_USD_per_kWh,Viability_Category,Payback_Period_years,IRR_percent,Deployment_Type,Composite_Deployment_Score
SYL_0000,24.862178083193154,91.67218670818515,15.238138613867203,4.873727161331154,2.185989528934736,3.453965679565796,72.11502737682599,1.7383328830727258,18.382896273127106,0.3533238504474078,0.5159873168181123,0.5399214769483467,4.9982688482352575,6.332435513261772,High Risk,0.6332210547503202,0.39926497397687827,0.6832484345120138,59.0,210.0,94.0,0.09454363631301212,MEDIUM,0.9224915519983259,130.08249207274883,Ground_Degraded,0.6453001494455678
SYL_0001,25.265500014486943,92.23178703467569,46.78670892839989,2.060633233169298,1.688607126283723,3.7988853754777145,177.11883157493108,1.408451687456386,0.7277858481349543,0.5106936208319858,0.20814300677584688,0.18697581721338954,5.8766966272762975,6.059018541639485,Medium Risk,0.523562873616916,0.25014831337071064,0.6998205320615997,194.0,175.0,281.0,0.08080603156894767,MEDIUM,0.7697786110095148,155.88897675739233,Floating,0.6349739584358682
SYL_0002,25.112395759267983,91.9536766607135,82.05061241187585,10.079254937137215,1.1435466603401494,0.47649928870812497,85.91169061914411,0.311153893622715,1.3164123188918735,0.3497141736421952,0.3235361454885801,0.565846393020046,14.336512734074946,1.0,Medium Risk,0.5820809247552277,0.2684062626823426,0.6560168726317082,152.0,269.0,185.0,0.0863435662243448,MEDIUM,0.8774526980072416,136.75950882882765,Floating,0.6589776899731187
SYL_0003,25.019060938937926,92.17852022627541,68.63550115387444,4.59160125577276,1.7106440696494016,2.142111846942619,113.10820078831858,1.9563242155038065,10.140303165636087,0.5116886201753675,0.5436603058556709,0.31828988494773036,1.044588868759107,4.618889291374873,High Risk,0.5423214791604617,0.4056357132735065,0.7464761322919897,52.0,74.0,253.0,0.09305355803345325,HIGH,0.8310474062333417,144.39609473530604,Ground_Degraded,0.6159842897808386
SYL_0004,24.709213048309707,91.82403472072143,74.82966566598492,3.432423884215347,4.460063774000178,1.2783857155214864,791.121920317021,0.6394201891424889,13.049887246049575,0.24081860714671602,0.4197998513601295,0.842990260302135,3.716141455036662,1.0,Medium Risk,0.6844348970529684,0.37304626398886104,0.6575006871916367,78.0,264.0,19.0,0.09037754415207001,MEDIUM,0.9163746483479935,130.95080731045059,Floating,0.6755869325011081
SYL_0005,24.709196164235344,92.22686625994734,22.219608089220372,3.6529571252416004,2.763332723451331,4.24314107860472,567.0576940865726,1.338214219389978,2.7204246914178967,0.297602883494937,0.5677161031492182,0.7123199387353457,0.3678586600225684,1.5710685774407018,High Risk,0.5752794319790546,0.4752757934606443,0.653274237263319,16.0,273.0,199.0,0.09797075475729583,MEDIUM,0.9997920135114323,120.02496357071354,Floating,0.6153623443738241
SYL_0006,24.64065852851774,91.8724411751139,10.259879493535479,2.7119735118112294,6.691443316888009,0.48603109393259447,50.0,0.17170916382021603,0.5,0.4732849437836306,0.20891080828070652,0.7447278041807004,1.5667179958530704,2.327587202766126,Medium Risk,0.5889096590050182,0.34950680726302596,0.6343988204150467,91.0,303.0,175.0,0.09540795825138829,MEDIUM,1.0026075625316047,119.68790630004577,Floating,0.6077878283737874
SYL_0007,25.206323302042456,91.60758635603621,31.855326997508797,0.6146284140709075,1.757617571765832,2.2652475567668895,340.26761735834793,1.2308323430119832,0.5,0.3294794799900255,0.23657934474628387,0.7113829580740967,5.651065641802615,6.981262807823935,Low Risk,0.5731039731951122,0.10657060735902199,0.659568416386299,347.0,259.0,203.0,0.07947429946740583,MEDIUM,0.8032959886389198,149.38453782562058,Floating,0.7029311925364665
SYL_0008,25.02078050822025,92.23376738349349,36.39312280721737,2.234924647452008,2.8025208862958664,1.8717225956861803,334.085368453955,0.7319027259094274,4.265991271765617,0.4492198859683041,0.4648772505253985,0.5645581644582505,1.3749748943902058,4.557919595731136,Medium Risk,0.5902171355516534,0.2897085265918337,0.7072845839152747,133.0,153.0,173.0,0.08556374302986718,HIGH,0.8064999103681563,148.79108907181603,Floating,0.6533219226390575
SYL_0009,25.095650804457232,91.66390067375029,62.35478796177371,9.272713315396855,2.993377379072779,0.699970390780318,50.0,3.456231322288964,2.4952685018443055,0.21396616242961822,0.2778200014422446,0.7200531878155092,2.6828200631376853,5.094281028061538,Low Risk,0.4622759591491066,0.11942774946413608,0.6501644802526217,326.0,275.0,338.0,0.08857812411101694,MEDIUM,0.9082637476248047,132.1202132241998,Ground_Degraded,0.6973625900662813
